synthesizer,benchmark,difficulty,success,held_out_pass,candidates,time_seconds,program_found,expected_program
LLM-Ranked,add_inputs,simple_arithmetic,True,True,1,1.19,"add(x, y)","add(x, y)"
LLM-Ranked,multiply_constant,simple_arithmetic,True,True,34,2.264,"multiply(x, 3)","multiply(x, 3)"
LLM-Ranked,subtract_one,simple_arithmetic,True,True,2,1.36,"subtract(x, 1)","subtract(x, 1)"
LLM-Ranked,add_constant,simple_arithmetic,True,True,35,1.992,"add(x, 5)","add(x, 5)"
LLM-Ranked,double,simple_arithmetic,True,True,1,2.123,"add(x, x)","multiply(x, 2)"
LLM-Ranked,nested_add_multiply,hard_arithmetic,False,False,150,1.43,,"add(multiply(x, 3), 1)"
LLM-Ranked,absolute_value,hard_arithmetic,False,False,150,1.566,,"if_then_else(gte(x, 0), x, subtract(0, x))"
LLM-Ranked,max_of_two,hard_arithmetic,False,False,150,2.255,,"if_then_else(gte(x, y), x, y)"
LLM-Ranked,subtract_then_multiply,hard_arithmetic,False,False,150,1.289,,"multiply(subtract(x, 1), 2)"
LLM-Ranked,add_two_then_multiply,hard_arithmetic,False,False,150,2.007,,"multiply(add(x, y), 2)"
LLM-Ranked,concat_inputs,simple_string,False,False,150,1.649,,"concat(x, y)"
LLM-Ranked,first_char,simple_string,False,False,150,1.281,,"slice(x, 0, 1)"
LLM-Ranked,get_length,simple_string,False,False,150,1.513,,length(x)
LLM-Ranked,concat_space,simple_string,False,False,150,1.005,,"concat(concat(x, "" ""), y)"
LLM-Ranked,double_string,simple_string,False,False,150,1.581,,"concat(x, x)"
LLM-Ranked,length_plus_one,hard_string,False,False,150,1.383,,"add(length(x), 1)"
LLM-Ranked,slice_first_two,hard_string,False,False,150,1.251,,"slice(x, 0, 2)"
LLM-Ranked,concat_length,hard_string,False,False,150,1.436,,"length(concat(x, y))"
LLM-Ranked,slice_by_variable,hard_string,False,False,150,1.459,,"slice(x, 0, y)"
LLM-Ranked,conditional_length,hard_string,False,False,150,1.197,,"if_then_else(gt(length(x), 3), length(x), 0)"
